stock_code
SSA
NSA
CHK
STI
TAK
TST
UNU
KLM
ATN
RBT
BQR
COW
PPS
QUI
PHI
CHI
HAR
NIC
SHU
HOK
QUE
SOO
ELW
SAM
SKF
SSF
STL
SKY
SPS
NIS
CWF
HAN
LRH
LRW
LYF
LYY
SMK
SPR
SUM
URB
WSH
ELK
SRH
