"FisheryNumber","FisheryName","Gear","Term_PreTerm","Jurisdiction","Region","PSTFisheryType","Cohort_Type","CMB","CYER","MDT","MDTFigureReport","MDTFigureDetailed"
1,"AK W/S T","Troll","Preterm","SEAK","SEAK","AABM","Ocean","AABM SEAK Troll","AABM US","AABM SEAK Troll","SEAK_AABM","AABM SEAK"
2,"AK JNO T","Troll","Preterm","SEAK","SEAK","AABM","Ocean","AABM SEAK Troll","AABM US","AABM SEAK Troll","SEAK_AABM","AABM SEAK"
3,"AK JNI T","Troll","Preterm","SEAK","SEAK","AABM","Ocean","AABM SEAK Troll","AABM US","AABM SEAK Troll","SEAK_AABM","AABM SEAK"
4,"AK JLO T","Troll","Preterm","SEAK","SEAK","AABM","Ocean","AABM SEAK Troll","AABM US","AABM SEAK Troll","SEAK_AABM","AABM SEAK"
5,"AK JLI T","Troll","Preterm","SEAK","SEAK","AABM","Ocean","AABM SEAK Troll","AABM US","AABM SEAK Troll","SEAK_AABM","AABM SEAK"
6,"AK FALL T","Troll","Preterm","SEAK","SEAK","AABM","Ocean","AABM SEAK Troll","AABM US","AABM SEAK Troll","SEAK_AABM","AABM SEAK"
7,"TAK TERM T","Troll","Term","SEAK","SEAK","Terminal","Term","Terminal SEAK Troll","Terminal","Terminal SEAK Troll","TERM","Terminal SEAK"
8,"NORTH T","Troll","Preterm","Canada","NBC","AABM","Ocean","AABM NBC Troll","AABM Canada","AABM NBC Troll","CAN_AABM","AABM NBC"
9,"CENTRL T","Troll","Preterm","Canada","CBC","ISBM","Ocean","ISBM NBC&CBC Troll","ISBM Canada","ISBM NBC&CBC Troll","CAN_ISBM","ISBM Canada"
10,"WCVI F/W T","Troll","Preterm","Canada","WCVI","AABM","Ocean","AABM WCVI Troll","AABM Canada","AABM WCVI Troll","CAN_AABM","AABM WCVI"
11,"WCVI SPR T","Troll","Preterm","Canada","WCVI","AABM","Ocean","AABM WCVI Troll","AABM Canada","AABM WCVI Troll","CAN_AABM","AABM WCVI"
12,"WCVI SUM T","Troll","Preterm","Canada","WCVI","AABM","Ocean","AABM WCVI Troll","AABM Canada","AABM WCVI Troll","CAN_AABM","AABM WCVI"
13,"N FALCON T","Troll","Preterm","SUS","N Falcon","ISBM","Ocean","ISBM North of Falcon Troll","ISBM US","ISBM North of Falcon Troll","SUS_ISBM","ISBM US"
