CY	76
1978	0.07
1979	0.05
1980	0.13
1981	0.05
1982	0.10
1983	0.09
1984	0.06
1985	0.04
1986	0.13
1987	0.14
1988	0.13
1989	0.13
1990	0.25
1991	0.28
1992	0.24
1993	0.43
1994	0.31
1995	0.38
1996	0.25
1997	0.21
1998	0.21
1999	0.17
2000	0.20
2001	0.21
2002	0.14
2003	0.21
2004	0.30
2005	0.22
2006	0.29
2007	0.24
2008	0.19
2009	0.02
2010	0.12
2011	0.22
2012	0.22
2013	0.18
2014	0.28
2015	0.32
2016	0.21
2017	0.24
2018	0.20
2019	0.13
2020	0.12
2021	0.27
2022	0.37
